Label,Notation,Parent Notation,Sort Priority
All,all,,1.0
Pre 1919,pre-1919,,2.0
1919 to 1944,1919-to-1944,,3.0
1945 to 1964,1945-to-1964,,4.0
1965 to 1980,1965-to-1980,,5.0
1981 to 1990,1981-to-1990,,6.0
1991 to 2002,1991-to-2002,,7.0
Post 2002,post-2002,,8.0
All,all-households,,9.0
all,all,,
pre-1919,pre-1919,,
1919-to-1944,1919-to-1944,,
1945-to-1964,1945-to-1964,,
1965-to-1980,1965-to-1980,,
1981-to-1990,1981-to-1990,,
1991-to-2002,1991-to-2002,,
post-2002,post-2002,,
all-households,all-households,,
