Value,Period,Low Income High costs Matrix,Unit,Measure Type,FPEER,SAP BAND,Rurality,Region,Dwelling Type,Dwelling Age,Floor Area,Gas Grid Connection,Main Fuel Type,Wall Insulation
63.0,year/2020,low-income-low-energy-efficiency,rating,median-rating,all,all,all,E92000001,all,all,all,all,all,all
74.0,year/2020,low-income-high-energy-efficiency,rating,median-rating,all,all,all,E92000001,all,all,all,all,all,all
63.0,year/2020,high-income-low-energy-efficiency,rating,median-rating,all,all,all,E92000001,all,all,all,all,all,all
73.0,year/2020,high-income-high-energy-efficiency,rating,median-rating,all,all,all,E92000001,all,all,all,all,all,all
68.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,all,all,all,all
73.0,year/2020,all,rating,median-rating,a-b-and-c,all,all,E92000001,all,all,all,all,all,all
64.0,year/2020,all,rating,median-rating,d,all,all,E92000001,all,all,all,all,all,all
50.0,year/2020,all,rating,median-rating,e,all,all,E92000001,all,all,all,all,all,all
33.0,year/2020,all,rating,median-rating,f,all,all,E92000001,all,all,all,all,all,all
15.0,year/2020,all,rating,median-rating,g,all,all,E92000001,all,all,all,all,all,all
73.0,year/2020,all,rating,median-rating,all,a-b-and-c,all,E92000001,all,all,all,all,all,all
64.0,year/2020,all,rating,median-rating,all,d,all,E92000001,all,all,all,all,all,all
50.0,year/2020,all,rating,median-rating,all,e,all,E92000001,all,all,all,all,all,all
34.0,year/2020,all,rating,median-rating,all,f,all,E92000001,all,all,all,all,all,all
16.0,year/2020,all,rating,median-rating,all,g,all,E92000001,all,all,all,all,all,all
69.0,year/2020,all,rating,median-rating,all,all,urban,E92000001,all,all,all,all,all,all
68.0,year/2020,all,rating,median-rating,all,all,semi-rural,E92000001,all,all,all,all,all,all
61.0,year/2020,all,rating,median-rating,all,all,rural,E92000001,all,all,all,all,all,all
69.0,year/2020,all,rating,median-rating,all,all,all,E12000001,all,all,all,all,all,all
68.0,year/2020,all,rating,median-rating,all,all,all,E12000002,all,all,all,all,all,all
67.0,year/2020,all,rating,median-rating,all,all,all,E12000003,all,all,all,all,all,all
67.0,year/2020,all,rating,median-rating,all,all,all,E12000004,all,all,all,all,all,all
67.0,year/2020,all,rating,median-rating,all,all,all,E12000005,all,all,all,all,all,all
68.0,year/2020,all,rating,median-rating,all,all,all,E12000006,all,all,all,all,all,all
69.0,year/2020,all,rating,median-rating,all,all,all,E12000007,all,all,all,all,all,all
69.0,year/2020,all,rating,median-rating,all,all,all,E12000008,all,all,all,all,all,all
68.0,year/2020,all,rating,median-rating,all,all,all,E12000009,all,all,all,all,all,all
66.0,year/2020,all,rating,median-rating,all,all,all,E92000001,converted-flat-note-a,all,all,all,all,all
67.0,year/2020,all,rating,median-rating,all,all,all,E92000001,detached,all,all,all,all,all
66.0,year/2020,all,rating,median-rating,all,all,all,E92000001,end-terrace,all,all,all,all,all
68.0,year/2020,all,rating,median-rating,all,all,all,E92000001,mid-terrace,all,all,all,all,all
73.0,year/2020,all,rating,median-rating,all,all,all,E92000001,purpose-built-flat,all,all,all,all,all
67.0,year/2020,all,rating,median-rating,all,all,all,E92000001,semi-detached,all,all,all,all,all
62.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,pre-1919,all,all,all,all
65.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,1919-to-1944,all,all,all,all
68.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,1945-to-1964,all,all,all,all
69.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,1965-to-1980,all,all,all,all
70.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,1981-to-1990,all,all,all,all
71.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,1991-to-2002,all,all,all,all
78.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,post-2002,all,all,all,all
70.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,less-than-50-sqm,all,all,all
69.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,50-to-69-sqm,all,all,all
68.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,70-to-89-sqm,all,all,all
67.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,90-to-109-sqm,all,all,all
67.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,110-sqm-or-more,all,all,all
69.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,all,yes,all,all
61.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,all,no,all,all
69.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,all,all,gas,all
62.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,all,all,electricity,all
58.0,year/2020,all,rating,median-rating,all,all,all,E92000001,all,all,all,all,other,all
