Value,Period,Low Income High costs Matrix,Unit,Measure Type,FPEER,SAP BAND,Rurality,Region,Dwelling Type,Dwelling Age,Floor Area,Gas Grid Connection,Main Fuel Type,Wall Insulation
1341.0,year/2020,low-income-low-energy-efficiency,gdp,median-costs,all,all,all,E92000001,all,all,all,all,all,all
1018.0,year/2020,low-income-high-energy-efficiency,gdp,median-costs,all,all,all,E92000001,all,all,all,all,all,all
1389.0,year/2020,high-income-low-energy-efficiency,gdp,median-costs,all,all,all,E92000001,all,all,all,all,all,all
1083.0,year/2020,high-income-high-energy-efficiency,gdp,median-costs,all,all,all,E92000001,all,all,all,all,all,all
1223.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,all,all,all
1061.0,year/2020,all,gdp,median-costs,a-b-and-c,all,all,E92000001,all,all,all,all,all,all
1312.0,year/2020,all,gdp,median-costs,d,all,all,E92000001,all,all,all,all,all,all
1716.0,year/2020,all,gdp,median-costs,e,all,all,E92000001,all,all,all,all,all,all
2314.0,year/2020,all,gdp,median-costs,f,all,all,E92000001,all,all,all,all,all,all
3140.0,year/2020,all,gdp,median-costs,g,all,all,E92000001,all,all,all,all,all,all
1063.0,year/2020,all,gdp,median-costs,all,a-b-and-c,all,E92000001,all,all,all,all,all,all
1300.0,year/2020,all,gdp,median-costs,all,d,all,E92000001,all,all,all,all,all,all
1704.0,year/2020,all,gdp,median-costs,all,e,all,E92000001,all,all,all,all,all,all
2301.0,year/2020,all,gdp,median-costs,all,f,all,E92000001,all,all,all,all,all,all
3132.0,year/2020,all,gdp,median-costs,all,g,all,E92000001,all,all,all,all,all,all
1198.0,year/2020,all,gdp,median-costs,all,all,urban,E92000001,all,all,all,all,all,all
1267.0,year/2020,all,gdp,median-costs,all,all,semi-rural,E92000001,all,all,all,all,all,all
1583.0,year/2020,all,gdp,median-costs,all,all,rural,E92000001,all,all,all,all,all,all
1219.0,year/2020,all,gdp,median-costs,all,all,all,E12000001,all,all,all,all,all,all
1250.0,year/2020,all,gdp,median-costs,all,all,all,E12000002,all,all,all,all,all,all
1235.0,year/2020,all,gdp,median-costs,all,all,all,E12000003,all,all,all,all,all,all
1239.0,year/2020,all,gdp,median-costs,all,all,all,E12000004,all,all,all,all,all,all
1244.0,year/2020,all,gdp,median-costs,all,all,all,E12000005,all,all,all,all,all,all
1209.0,year/2020,all,gdp,median-costs,all,all,all,E12000006,all,all,all,all,all,all
1119.0,year/2020,all,gdp,median-costs,all,all,all,E12000007,all,all,all,all,all,all
1229.0,year/2020,all,gdp,median-costs,all,all,all,E12000008,all,all,all,all,all,all
1274.0,year/2020,all,gdp,median-costs,all,all,all,E12000009,all,all,all,all,all,all
1171.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,converted-flat-note-a,all,all,all,all,all
1431.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,detached,all,all,all,all,all
1233.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,end-terrace,all,all,all,all,all
1178.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,mid-terrace,all,all,all,all,all
982.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,purpose-built-flat,all,all,all,all,all
1254.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,semi-detached,all,all,all,all,all
1378.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,pre-1919,all,all,all,all
1299.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,1919-to-1944,all,all,all,all
1215.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,1945-to-1964,all,all,all,all
1206.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,1965-to-1980,all,all,all,all
1159.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,1981-to-1990,all,all,all,all
1152.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,1991-to-2002,all,all,all,all
1012.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,post-2002,all,all,all,all
956.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,less-than-50-sqm,all,all,all
1083.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,50-to-69-sqm,all,all,all
1205.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,70-to-89-sqm,all,all,all
1278.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,90-to-109-sqm,all,all,all
1544.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,110-sqm-or-more,all,all,all
1201.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,yes,all,all
1520.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,no,all,all
1200.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,all,gas,all
1534.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,all,electricity,all
1486.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,all,other,all
1263.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,all,all,cavity-uninsulated
1168.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,all,all,cavity-with-insulation
1340.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,all,all,solid-uninsulated
1133.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,all,all,solid-with-insulation
1059.0,year/2020,all,gdp,median-costs,all,all,all,E92000001,all,all,all,all,all,other-note-b
