Value,Period,Payment Method,Unit,Measure Type,Fuel Type
1154.0,year/2020,1st-decile-lowest-income,gdp,median-costs,gas
1148.0,year/2020,2nd-decile,gdp,median-costs,gas
1198.0,year/2020,3rd-and-4th-deciles,gdp,median-costs,gas
1257.0,year/2020,5th-10th-deciles-highest-incomes,gdp,median-costs,gas
1223.0,year/2020,all,gdp,median-costs,gas
1210.0,year/2020,direct-debit,gdp,median-costs,electricity
1263.0,year/2020,standard-credit,gdp,median-costs,electricity
1121.0,year/2020,prepayment,gdp,median-costs,electricity
1520.0,year/2020,n/a-no-gas,gdp,median-costs,electricity
1223.0,year/2020,all,gdp,median-costs,electricity
