Label,Notation,Parent Notation,Sort Priority
349.0,349,,
328.0,328,,
334.0,334,,
347.0,347,,
320.0,320,,
316.0,316,,
353.0,353,,
318.0,318,,
348.0,348,,
49.0,49-0,,
295.0,295-0,,
264.0,264-0,,
128.0,128-0,,
66.0,66-0,,
802.0,802-0,,
40.0,40-0,,
284.0,284-0,,
269.0,269-0,,
134.0,134-0,,
75.0,75-0,,
581.0,581-0,,
56.0,56-0,,
165.0,165-0,,
42.0,42-0,,
256.0,256-0,,
184.0,184-0,,
98.0,98-0,,
3.0,3-0,,
20.0,20-0,,
16.0,16-0,,
,,,
18.0,18-0,,
64.0,64-0,,
79.0,79-0,,
27.0,27-0,,
133.0,133-0,,
70.0,70-0,,
69.0,69-0,,
120.0,120-0,,
92.0,92-0,,
96.0,96-0,,
109.0,109-0,,
86.0,86-0,,
53.0,53-0,,
240.0,240-0,,
91.0,91-0,,
139.0,139-0,,
229.0,229-0,,
360.0,360-0,,
155.0,155-0,,
122.0,122-0,,
100.0,100-0,,
31.0,31-0,,
14.0,14-0,,
95.0,95-0,,
161.0,161-0,,
140.0,140-0,,
376.0,376-0,,
508.0,508-0,,
293.0,293-0,,
44.0,44-0,,
262.0,262-0,,
171.0,171-0,,
32.0,32-0,,
6.0,6-0,,
34.0,34-0,,
93.0,93-0,,
162.0,162-0,,
603.0,603-0,,
99.0,99-0,,
45.0,45-0,,
276.0,276-0,,
210.0,210-0,,
73.0,73-0,,
36.0,36-0,,
43.0,43-0,,
78.0,78-0,,
485.0,485-0,,
191.0,191-0,,
125.0,125-0,,
260.0,260-0,,
5.0,5-0,,
25.0,25-0,,
51.0,51-0,,
111.0,111-0,,
10.0,10-0,,
47.0,47-0,,
67.0,67-0,,
481.0,481-0,,
57.0,57-0,,
35.0,35-0,,
113.0,113-0,,
17.0,17-0,,
703.0,703-0,,
138.0,138-0,,
110.0,110-0,,
207.0,207-0,,
194.0,194-0,,
174.0,174-0,,
411.0,411-0,,
7.0,7-0,,
9.0,9-0,,
81.0,81-0,,
24.0,24-0,,
52.0,52-0,,
15.0,15-0,,
136.0,136-0,,
434.0,434-0,,
244.0,244-0,,
123.0,123-0,,
170.0,170-0,,
50.0,50-0,,
361.0,361-0,,
390.0,390-0,,
216.0,216-0,,
474.0,474-0,,
994.0,994-0,,
334.0,334-0,,
158.0,158-0,,
215.0,215-0,,
438.0,438-0,,
865.0,865-0,,
294.0,294-0,,
300.0,300-0,,
690.0,690-0,,
169.0,169-0,,
214.0,214-0,,
445.0,445-0,,
836.0,836-0,,
107.0,107-0,,
197.0,197-0,,
397.0,397-0,,
266.0,266-0,,
620.0,620-0,,
1663.0,1663-0,,
236.0,236-0,,
348.0,348-0,,
297.0,297-0,,
316.0,316-0,,
375.0,375-0,,
245.0,245-0,,
369.0,369-0,,
455.0,455-0,,
569.0,569-0,,
261.0,261-0,,
