Label,Notation,Parent Notation,Sort Priority
All,all,,
Standard boiler (floor or wall),standard-boiler-floor-or-wall,,
Back boiler (to fire or stove),back-boiler-to-fire-or-stove,,
Combination boiler,combination-boiler,,
Condensing boiler,condensing-boiler,,
No boiler,no-boiler,,
Condensing-combination boiler,condensing-combination-boiler,,
