Label,Notation,Parent Notation,Sort Priority
Air source heat pump,air-source-heat-pump,,0
Ground source heat pump,ground-source-heat-pump,,1
Biomass systems,biomass-systems,,2
Solar thermal,solar-thermal,,3
Biomass,biomass,,4
Total,total,,5
All,all,,6
Small solid biomass boiler,small-solid-biomass-boiler,,7
Medium solid biomass boiler,medium-solid-biomass-boiler,,8
Large solid biomass boiler,large-solid-biomass-boiler,,9
Small water or ground source heat pumps,small-water-or-ground-source-heat-pumps,,10
Large water or ground source heat pumps,large-water-or-ground-source-heat-pumps,,11
Biomethane,biomethane,,12
Biogas,biogas,,13
Air source heat pumps,air-source-heat-pumps,,14
Chp,chp,,15
Deep geothermal,deep-geothermal,,16
Small solar thermal,small-solar-thermal,,17
